機種名,G数,差枚,BB,RB,BB確率,RB確率,合成確率,機械割,総G数,総差枚
340_(スマスロ北斗の拳),3978,367,46,10,86.5,397.8,71.0,103.1,119348,11000
381_(スマスロ北斗の拳),3899,263,43,11,90.7,354.5,72.2,102.2,116983,7900
382_(スマスロ北斗の拳),3563,260,39,10,91.4,356.3,72.7,102.4,106903,7800
383_(スマスロ北斗の拳),3758,240,42,10,89.5,375.8,72.3,102.1,112731,7200
384_(スマスロ北斗の拳),2820,207,31,8,91.0,352.5,72.3,102.4,84601,6200
385_(スマスロ北斗の拳),3428,570,41,9,83.6,380.9,68.6,105.5,102854,17100
386_(スマスロ北斗の拳),3214,273,37,8,86.9,401.8,71.4,102.8,96423,8200
387_(スマスロ北斗の拳),3277,-223,33,9,99.3,364.1,78.0,97.7,98296,-6700
388_(スマスロ北斗の拳),3322,-53,35,9,94.9,369.1,75.5,99.5,99645,-1600
501_(革命機ヴァルヴレイヴ),2394,140,19,2,126.0,1197.0,114.0,101.9,71827,4200
502_(革命機ヴァルヴレイヴ),2003,43,15,2,133.5,1001.5,117.8,100.7,60084,1300
503_(革命機ヴァルヴレイヴ),2176,440,19,2,114.5,1088.0,103.6,106.7,65268,13200
504_(革命機ヴァルヴレイヴ),2169,-37,17,2,127.6,1084.5,114.2,99.4,65065,-1100
505_(革命機ヴァルヴレイヴ),1948,-567,11,2,177.1,974.0,149.8,90.3,58451,-17000
